id,seg_id_nat,year,month,n,experiment,ANN,RGCN,RGCN_ptrn,RNN
a335,2012,2010,7,31,d100,0.715514797,0.67800392,0.835865946,1.605870339
a336,2013,2010,7,31,d100,1.43526804,1.390379021,0.554171086,0.6082432
a337,2014,2010,7,28,d100,0.73313363,0.53249487,0.807365815,1.290590977
a338,2020,2010,7,1,d100,2.729890213,2.796468124,2.584224091,1.439183578
a339,2021,2010,7,1,d100,0.169369125,0.258280182,0.458979034,0.324477768
a340,2023,2010,7,1,d100,1.641552353,3.375194931,1.755863571,0.267759705
a341,2027,2010,7,1,d100,1.408076706,0.547673645,2.210593643,4.076413574
a342,2030,2010,7,1,d100,0.877177505,1.297910004,0.673001556,0.695896835
a343,2031,2010,7,1,d100,0.686101685,0.567554245,0.747689972,2.449365845
a344,2033,2010,7,1,d100,1.440640945,1.490428467,1.351962585,1.394539337
